id,latitude,longitude,zipcode,accommodates,bathrooms,bedrooms,beds,nightly_price,price_per_stay,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,host_id,host_total_listings_count,number_of_reviews,number_of_stays,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,is_business_travel_ready,require_guest_profile_picture,require_guest_phone_verification
31415859,32.78536,-117.25365,92109,10,3.0,3.0,9.0,290.0,580.0,0.0,150.0,7,10.0,2,31,127983777,2.0,5,10,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0
30320343,32.74898,-117.24596,92106,10,3.0,5.0,7.0,575.0,575.0,500.0,519.0,10,0.0,1,999,113421970,53.0,0,0,95.44565217391305,9.726086956521739,9.615217391304348,9.843478260869565,9.808695652173913,9.91304347826087,9.458695652173914,0,1,0,0,0
20082784,32.57795,-117.05746,92154,10,3.0,5.0,6.0,282.0,564.0,382.52668539325845,291.0,1,0.0,2,28,111814852,202.0,15,30,99.0,10.0,10.0,10.0,10.0,9.0,10.0,0,1,0,0,0
27605089,32.91898,-117.12355,92126,10,2.5,5.0,6.0,280.0,560.0,400.0,220.0,1,0.0,2,1125,35914547,1.0,40,80,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0
17975384,32.85054,-117.26159,92037,10,3.0,4.0,5.0,557.0,557.0,1000.0,449.0,10,0.0,1,1125,122055416,403.0,4,8,93.0,10.0,10.0,10.0,10.0,9.0,8.0,0,1,0,0,0
16972820,32.71717,-117.24399,92106,10,3.0,4.0,5.0,550.0,550.0,500.0,409.0,8,0.0,1,999,113421970,53.0,23,46,98.0,10.0,9.0,10.0,9.0,10.0,9.0,0,1,0,0,0
19752015,32.78218,-117.25193,92109,10,2.5,4.0,6.0,550.0,550.0,1000.0,309.0,1,0.0,1,365,38690778,86.0,4,8,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0
17975460,32.82893,-117.27708,92037,10,2.5,4.0,5.0,538.0,538.0,1000.0,449.0,10,0.0,1,1125,122055416,403.0,4,8,95.0,9.0,9.0,10.0,10.0,10.0,9.0,0,1,0,0,0
18115989,32.72852,-117.23589,92106,10,2.5,4.0,4.0,538.0,538.0,1000.0,598.0,10,0.0,1,1125,122055416,403.0,3,6,80.0,8.0,9.0,8.0,9.0,9.0,9.0,0,1,0,0,0
19699781,32.81239,-117.25989,92037,10,3.0,4.0,4.0,526.0,526.0,1000.0,499.0,10,0.0,1,1125,122055416,403.0,4,8,80.0,9.0,9.0,9.0,9.0,9.0,8.0,0,1,0,0,0
19699770,32.82338,-117.2653,92037,10,3.0,4.0,5.0,524.0,524.0,1000.0,574.0,10,0.0,1,1125,122055416,403.0,4,8,85.0,10.0,9.0,9.0,10.0,10.0,9.0,0,1,0,0,0
16972822,32.82542,-117.27817,92037,10,2.0,4.0,6.0,500.0,500.0,500.0,409.0,8,0.0,1,999,113421970,53.0,34,68,94.0,9.0,9.0,10.0,9.0,10.0,9.0,0,1,0,0,0
22939250,32.73275,-117.16237,92103,10,2.0,3.0,7.0,250.0,500.0,100.0,175.0,8,0.0,2,365,164623481,11.0,19,38,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0
25939095,32.71896,-117.15947,92101,10,2.0,1.0,2.0,250.0,500.0,225.0,125.0,6,10.0,2,1125,55287801,24.0,41,82,97.0,10.0,9.0,10.0,10.0,10.0,10.0,0,1,0,0,0
30184581,32.73312,-117.22341,92106,10,3.5,5.0,6.0,500.0,500.0,0.0,175.0,2,25.0,1,1125,73427801,1.0,21,42,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0
32009340,32.96414,-117.1142,92129,10,3.0,4.0,5.0,250.0,500.0,400.0,175.0,10,10.0,2,31,43799832,22.0,1,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0
35452482,32.81861,-117.19761,92117,10,2.0,4.0,5.0,250.0,500.0,100.0,100.0,4,25.0,2,30,250488248,1.0,5,10,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0
37457808,32.81029,-117.22247,92109,10,2.0,3.0,2.0,500.0,500.0,300.0,150.0,6,50.0,1,1125,1028043,48.0,0,0,95.40642303433002,9.73059866962306,9.493348115299336,9.853496115427303,9.83481152993348,9.875693673695894,9.457777777777778,0,1,0,1,1
23980640,32.71087,-117.15006,92101,10,3.0,3.0,7.0,499.0,499.0,300.0,150.0,1,0.0,1,1125,17981722,73.0,70,140,83.0,9.0,9.0,9.0,8.0,9.0,8.0,0,1,0,0,0
